case,category,categoryBig,mistake,freq,interesting,falseValue
адмініс<span class="strike">та</span>тор,адміністратор,інше,TRUE,3,,1534
<span class="strike">ам</span>іністратор,адміністратор,інше,TRUE,3,,1534
адмін<span class="strike">іт</span>ратор,адміністратор,інше,TRUE,3,,1534
адмі<span class="strike">нс</span>тратор,адміністратор,інше,TRUE,5,,1534
адміністратор,адміністратор,інше,FALSE,1534,,1534
а<span class="strike">дью</span>нкт,ад'юнкт,апостроф,TRUE,3,,49
"а<span class="strike">д""ю</span>нкт",ад'юнкт,апостроф,TRUE,4,,49
а<span class="strike">дюн</span>кт,ад'юнкт,апостроф,TRUE,9,,49
ад'юнкт,ад'юнкт,апостроф,FALSE,49,,49
бри<span class="strike">гд</span>ир,бригадир,інше,TRUE,2,,632
брига<span class="strike">л</span>ир,бригадир,інше,TRUE,2,,632
б<span class="strike">о</span>игадир,бригадир,інше,TRUE,2,,632
бр<span class="strike">і</span>гадир,бригадир,інше,TRUE,3,yes,632
бриг<span class="strike">о</span>дир,бригадир,інше,TRUE,4,yes,632
бр<span class="strike">е</span>гадир,бригадир,інше,TRUE,5,yes,632
бригад<span class="strike">і</span>р,бригадир,інше,TRUE,5,,632
бригадир,бригадир,інше,FALSE,632,,632
бухгалт<span class="strike">к</span>р,бухгалтер,інше,TRUE,5,,7577
бух<span class="strike">гг</span>алтер,бухгалтер,інше,TRUE,2,,7577
бухгал<span class="strike">тр</span>,бухгалтер,інше,TRUE,3,,7577
бухгалтерс<span class="strike">ьт</span>кого,бухгалтер,інше,TRUE,1,,7577
бу<span class="strike">гхг</span>алтер,бухгалтер,інше,TRUE,2,,7577
бух<span class="strike">гл</span>тер,бухгалтер,інше,TRUE,5,,7577
бу<span class="strike">хх</span>галтер,бухгалтер,інше,TRUE,2,,7577
бухгалтер<span class="strike">в</span>ського,бухгалтер,інше,TRUE,2,,7577
бухгалтер<span class="strike">стк</span>ого,бухгалтер,інше,TRUE,2,,7577
бухгалт<span class="strike">ес</span>ької,бухгалтер,інше,TRUE,2,,7577
бухг<span class="strike">ат</span>ер,бухгалтер,інше,TRUE,9,yes,7577
бкхгалтерського,бухгалтер,інше,TRUE,4,,7577
бухгалте<span class="strike">рьск</span>ого,бухгалтер,інше,TRUE,4,,7577
бухгалте<span class="strike">рьк</span>ого,бухгалтер,інше,TRUE,5,,7577
бухга<span class="strike">ле</span>р,бухгалтер,інше,TRUE,14,yes,7577
бу<span class="strike">ха</span>лтер,бухгалтер,інше,TRUE,15,yes,7577
бухгалт<span class="strike">ес</span>ького,бухгалтер,інше,TRUE,13,,7577
б<span class="strike">уг</span>алтер,бухгалтер,інше,TRUE,27,yes,7577
бухгалтер<span class="strike">ск</span>ого,бухгалтер,інше,TRUE,26,,7577
бухгалтер,бухгалтер,інше,FALSE,7577,,7577
вет<span class="strike">и</span>ринарний,ветеринарний,інше,TRUE,2,yes,109
ветер<span class="strike">е</span>нарний,ветеринарний,інше,TRUE,3,yes,109
ветеринарн<span class="strike">о</span>й,ветеринарний,інше,TRUE,5,,109
ветеринарний,ветеринарний,інше,FALSE,109,,109
в<span class="strike">і</span>тлікар,ветлікар,інше,TRUE,2,,80
в<span class="strike">ел</span>ікар,ветлікар,інше,TRUE,2,,80
